Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter
597147;Mogul Ab Sek1;OMX NORDIC STOCKHOLM;SHARE;17-02-1998;14-10-2003;;SEK;;Software and Consulting;SE0000671810;;;;FJERN
597193;Ibs;OMX NORDIC STOCKHOLM;SHARE;18-03-1993;31-08-2011;4,4;SEK;;Specialty Finance and Services;SE0000106759;36.249,0;158140,7064;13994,75278;FJERN
597212;Softronic AB Class B;OMX NORDIC STOCKHOLM;SHARE;03-12-1998;13-05-2026;13,3;SEK;1.157,9;Software and Consulting;SE0000323305;39.582,0;525165,0004;46474,7788;FJERN
597394;Scandiaconsult AB;OMX NORDIC STOCKHOLM;SHARE;31-03-1993;09-05-2003;;SEK;;Industrial Services;SE0000120859;;;;FJERN
597768;Boss Media;OMX NORDIC STOCKHOLM;SHARE;24-06-1999;18-04-2008;24,2;SEK;;Hardware;SE0000488850;0,0;0;0;FJERN
597769;Fenix Outdoor AB Class B;OMX NORDIC STOCKHOLM;SHARE;05-04-1990;04-07-2014;179,6;SEK;;Consumer Goods;SE0000104788;3.823,3;686580,8107;60759,36378;FJERN
597770;Iar Systems Ab Sek0.50;OMX NORDIC STOCKHOLM;SHARE;11-07-2000;18-04-2005;;SEK;;Hardware;SE0000678328;;;;FJERN
597774;Affitech A/S;OMX NORDIC COPENHAGEN;SHARE;31-05-2000;23-10-2012;0,4;DKK;;Biopharmaceuticals;DK0015966592;245.299,4;106365,1559;14277,20214;FJERN
597783;RTX A/S;OMX NORDIC COPENHAGEN;SHARE;08-06-2000;13-05-2026;95,3;DKK;739,8;Hardware;DK0010267129;12.839,0;1223299,386;164201,2599;BEHOLD
597838;Telia Company AB;OMX NORDIC STOCKHOLM;SHARE;13-06-2000;13-05-2026;40,6;SEK;154.846,5;Telecommunications;SE0000667925;10.343.880,0;420337321,2;37197993,02;BEHOLD
598054;Availo AB;OMX NORDIC STOCKHOLM;SHARE;30-05-2000;04-07-2014;22,2;SEK;;Software and Consulting;SE0000582603;8.121,3;180337,8678;15959,10335;FJERN
