Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
08/08/07,"910,76",,"9,42","1,04","1.171,11","32,39",,"910,76","910,76"
08/09/07,"898,12",,"-12,64","-1,39","1.154,86","30,56",,"898,12","898,12"
08/10/07,"883,65",,"-14,47","-1,61","1.136,27","28,45",,"883,65","883,65"
08/13/07,"894,77",,"11,12","1,26","1.150,81","30,10",,"894,77","894,77"
08/14/07,"885,06",,"-9,71","-1,09","1.138,34","28,69",,"885,06","885,06"
08/15/07,"879,54",,"-5,52","-0,62","1.131,45","27,91",,"879,54","879,54"
08/16/07,"866,04",,"-13,51","-1,54","1.114,08","25,95",,"866,04","866,04"
08/17/07,"879,57",,"13,53","1,56","1.131,48","27,91",,"879,57","879,57"
08/20/07,"882,73",,"3,16","0,36","1.135,77","28,40",,"882,73","882,73"
08/21/07,"886,19",,"3,46","0,39","1.140,22","28,90",,"886,19","886,19"
08/22/07,"894,31",,"8,12","0,92","1.151,74","30,20",,"894,31","894,31"
08/23/07,"898,39",,"4,08","0,46","1.157,00","30,80",,"898,39","898,39"
08/24/07,"903,14",,"4,75","0,53","1.163,12","31,49",,"903,14","903,14"
08/27/07,"898,04",,"-5,10","-0,57","1.156,64","30,76",,"898,04","898,04"
08/28/07,"886,69",,"-11,35","-1,26","1.142,03","29,11",,"886,69","886,69"
08/29/07,"897,81",,"11,12","1,25","1.156,52","30,74",,"897,81","897,81"
08/30/07,"900,57",,"2,76","0,31","1.160,09","31,15",,"900,57","900,57"
08/31/07,"909,13",,"8,56","0,95","1.171,15","32,40",,"909,13","909,13"
09/04/07,"913,81",,"4,68","0,52","1.177,29","33,09",,"913,81","913,81"
09/05/07,"899,49",,"-14,32","-1,57","1.158,94","31,02",,"899,49","899,49"
09/06/07,"902,76",,"3,27","0,36","1.163,35","31,52",,"902,76","902,76"
09/07/07,"890,64",,"-12,12","-1,34","1.147,74","29,75",,"890,64","890,64"
09/10/07,"889,22",,"-1,42","-0,16","1.145,92","29,55",,"889,22","889,22"
09/11/07,"901,78",,"12,56","1,41","1.162,18","31,38",,"901,78","901,78"
09/12/07,"906,89",,"5,11","0,57","1.168,83","32,14",,"906,89","906,89"
09/13/07,"916,59",,"9,71","1,07","1.181,34","33,55",,"916,59","916,59"
09/14/07,"915,24",,"-1,35","-0,15","1.179,60","33,35",,"915,24","915,24"
09/17/07,"911,36",,"-3,88","-0,42","1.174,64","32,79",,"911,36","911,36"
09/18/07,"921,12",,"9,76","1,07","1.187,23","34,22",,"921,12","921,12"
09/19/07,"933,04",,"11,92","1,29","1.202,59","35,95",,"933,04","933,04"
09/20/07,"930,55",,"-2,50","-0,27","1.199,39","35,59",,"930,55","930,55"
09/21/07,"934,13",,"3,58","0,38","1.204,01","36,11",,"934,13","934,13"
09/24/07,"933,44",,"-0,68","-0,07","1.203,12","36,01",,"933,44","933,44"
09/25/07,"933,45",,"0,00","0,00","1.204,05","36,12",,"933,45","933,45"
09/26/07,"941,72",,"8,27","0,89","1.214,95","37,35",,"941,72","941,72"
