Price History: 990100,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
05/27/16,"1.271,65",,"4,84","0,38","4.933,08","66,80",,"1.271,65","1.271,65"
05/30/16,"1.273,48",,"1,83","0,14","4.940,34","67,05",,"1.273,48","1.273,48"
05/31/16,"1.271,96",,"-1,51","-0,12","4.934,77","66,86",,"1.271,96","1.271,96"
06/01/16,"1.269,25",,"-2,71","-0,21","4.924,88","66,52",,"1.269,25","1.269,25"
06/02/16,"1.269,24",,"-0,01","0,00","4.925,99","66,56",,"1.269,24","1.269,24"
06/03/16,"1.266,40",,"-2,85","-0,22","4.915,03","66,19",,"1.266,40","1.266,40"
06/06/16,"1.271,65",,"5,26","0,42","4.935,89","66,90",,"1.271,65","1.271,65"
06/07/16,"1.276,42",,"4,76","0,37","4.954,56","67,53",,"1.276,42","1.276,42"
06/08/16,"1.278,17",,"1,75","0,14","4.962,04","67,78",,"1.278,17","1.278,17"
06/09/16,"1.272,05",,"-6,12","-0,48","4.939,14","67,01",,"1.272,05","1.272,05"
06/10/16,"1.256,41",,"-15,64","-1,23","4.878,50","64,96",,"1.256,41","1.256,41"
06/13/16,"1.241,51",,"-14,89","-1,19","4.821,58","63,03",,"1.241,51","1.241,51"
06/14/16,"1.232,42",,"-9,10","-0,73","4.786,47","61,84",,"1.232,42","1.232,42"
06/15/16,"1.233,93",,"1,52","0,12","4.792,63","62,05",,"1.233,93","1.233,93"
06/16/16,"1.230,98",,"-2,95","-0,24","4.781,76","61,68",,"1.230,98","1.230,98"
06/17/16,"1.233,07",,"2,08","0,17","4.790,13","61,97",,"1.233,07","1.233,07"
06/20/16,"1.249,88",,"16,81","1,36","4.855,83","64,19",,"1.249,88","1.249,88"
06/21/16,"1.254,60",,"4,72","0,38","4.874,57","64,82",,"1.254,60","1.254,60"
06/22/16,"1.253,84",,"-0,76","-0,06","4.871,71","64,73",,"1.253,84","1.253,84"
06/23/16,"1.270,12",,"16,28","1,30","4.935,16","66,87",,"1.270,12","1.270,12"
06/24/16,"1.216,66",,"-53,46","-4,21","4.727,48","59,85",,"1.216,66","1.216,66"
06/27/16,"1.194,99",,"-21,67","-1,78","4.643,32","57,00",,"1.194,99","1.194,99"
06/28/16,"1.214,65",,"19,66","1,65","4.721,25","59,64",,"1.214,65","1.214,65"
06/29/16,"1.238,44",,"23,78","1,96","4.814,35","62,79",,"1.238,44","1.238,44"
06/30/16,"1.253,24",,"14,80","1,20","4.872,20","64,74",,"1.253,24","1.253,24"
07/01/16,"1.258,48",,"5,24","0,42","4.893,19","65,45",,"1.258,48","1.258,48"
07/04/16,"1.258,00",,"-0,48","-0,04","4.891,41","65,39",,"1.258,00","1.258,00"
07/05/16,"1.248,35",,"-9,65","-0,77","4.854,10","64,13",,"1.248,35","1.248,35"
07/06/16,"1.245,98",,"-2,37","-0,19","4.846,12","63,86",,"1.245,98","1.245,98"
07/07/16,"1.247,59",,"1,61","0,13","4.852,73","64,08",,"1.247,59","1.247,59"
07/08/16,"1.262,22",,"14,63","1,17","4.909,69","66,01",,"1.262,22","1.262,22"
07/11/16,"1.274,60",,"12,38","0,98","4.958,10","67,65",,"1.274,60","1.274,60"
07/12/16,"1.285,53",,"10,92","0,86","5.000,60","69,08",,"1.285,53","1.285,53"
07/13/16,"1.286,87",,"1,34","0,10","5.006,11","69,27",,"1.286,87","1.286,87"
07/14/16,"1.293,66",,"6,79","0,53","5.032,60","70,17",,"1.293,66","1.293,66"
07/15/16,"1.293,67",,"0,02","0,00","5.032,67","70,17",,"1.293,67","1.293,67"
07/18/16,"1.296,35",,"2,67","0,21","5.043,18","70,52",,"1.296,35","1.296,35"
07/19/16,"1.295,34",,"-1,01","-0,08","5.039,34","70,39",,"1.295,34","1.295,34"
07/20/16,"1.302,06",,"6,72","0,52","5.065,87","71,29",,"1.302,06","1.302,06"
07/21/16,"1.300,13",,"-1,93","-0,15","5.058,40","71,04",,"1.300,13","1.300,13"
07/22/16,"1.303,30",,"3,17","0,24","5.070,90","71,46",,"1.303,30","1.303,30"
07/25/16,"1.300,66",,"-2,64","-0,20","5.060,70","71,12",,"1.300,66","1.300,66"
07/26/16,"1.300,54",,"-0,13","-0,01","5.060,31","71,10",,"1.300,54","1.300,54"
07/27/16,"1.302,13",,"1,59","0,12","5.066,90","71,33",,"1.302,13","1.302,13"
07/28/16,"1.299,97",,"-2,17","-0,17","5.058,89","71,06",,"1.299,97","1.299,97"
07/29/16,"1.303,90",,"3,93","0,30","5.074,24","71,57",,"1.303,90","1.303,90"
08/01/16,"1.301,80",,"-2,09","-0,16","5.066,11","71,30",,"1.301,80","1.301,80"
08/02/16,"1.289,74",,"-12,06","-0,93","5.019,38","69,72",,"1.289,74","1.289,74"
08/03/16,"1.288,99",,"-0,75","-0,06","5.017,46","69,65",,"1.288,99","1.288,99"
08/04/16,"1.293,51",,"4,51","0,35","5.036,40","70,29",,"1.293,51","1.293,51"
08/05/16,"1.303,57",,"10,07","0,78","5.075,82","71,63",,"1.303,57","1.303,57"
08/08/16,"1.306,71",,"3,14","0,24","5.088,34","72,05",,"1.306,71","1.306,71"
08/09/16,"1.311,86",,"5,15","0,39","5.108,51","72,73",,"1.311,86","1.311,86"
08/10/16,"1.308,68",,"-3,18","-0,24","5.097,24","72,35",,"1.308,68","1.308,68"
08/11/16,"1.314,75",,"6,07","0,46","5.123,29","73,23",,"1.314,75","1.314,75"
08/12/16,"1.314,66",,"-0,09","-0,01","5.123,47","73,24",,"1.314,66","1.314,66"
08/15/16,"1.317,34",,"2,67","0,20","5.134,37","73,61",,"1.317,34","1.317,34"
08/16/16,"1.308,28",,"-9,06","-0,69","5.099,65","72,43",,"1.308,28","1.308,28"
08/17/16,"1.308,18",,"-0,10","-0,01","5.100,48","72,46",,"1.308,18","1.308,18"
08/18/16,"1.309,29",,"1,11","0,08","5.105,32","72,63",,"1.309,29","1.309,29"
08/19/16,"1.307,11",,"-2,18","-0,17","5.097,29","72,35",,"1.307,11","1.307,11"
08/22/16,"1.307,26",,"0,15","0,01","5.098,04","72,38",,"1.307,26","1.307,26"
08/23/16,"1.311,14",,"3,87","0,30","5.113,31","72,90",,"1.311,14","1.311,14"
08/24/16,"1.307,49",,"-3,64","-0,28","5.099,42","72,43",,"1.307,49","1.307,49"
08/25/16,"1.304,41",,"-3,09","-0,24","5.087,60","72,03",,"1.304,41","1.304,41"
08/26/16,"1.303,03",,"-1,37","-0,11","5.082,34","71,85",,"1.303,03","1.303,03"
