Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
04/30/18,"219,72",,"0,69","0,32","267,13","223,09",,"219,72","219,72"
03/30/18,"219,02",,"-8,48","-3,73","266,13","221,88",,"219,02","219,02"
02/28/18,"227,51",,"-0,68","-0,30","276,18","234,03",,"227,51","227,51"
01/31/18,"228,18",,"14,84","6,96","276,51","234,43",,"228,18","228,18"
12/29/17,"213,34",,"-0,25","-0,12","258,39","212,52",,"213,34","213,34"
11/30/17,"213,60",,"1,70","0,80","258,57","212,73",,"213,60","213,60"
10/31/17,"211,90",,"14,38","7,28","256,05","209,69",,"211,90","211,90"
09/29/17,"197,52",,"2,31","1,18","238,53","188,50",,"197,52","197,52"
08/31/17,"195,21",,"5,33","2,81","235,57","184,92",,"195,21","195,21"
07/31/17,"189,88",,"6,84","3,74","228,71","176,61",,"189,88","189,88"
06/30/17,"183,04",,"-4,47","-2,38","220,35","166,51",,"183,04","183,04"
05/31/17,"187,51",,"7,86","4,37","225,61","172,87",,"187,51","187,51"
04/28/17,"179,66",,"3,97","2,26","215,59","160,75",,"179,66","179,66"
03/31/17,"175,68",,"4,13","2,40","210,66","154,79",,"175,68","175,68"
02/28/17,"171,56",,"7,53","4,59","205,52","148,57",,"171,56","171,56"
01/31/17,"164,02",,"6,48","4,11","196,08","137,15",,"164,02","164,02"
12/30/16,"157,54",,"2,38","1,53","188,21","127,64",,"157,54","157,54"
11/30/16,"155,16",,"-0,07","-0,05","185,26","124,07",,"155,16","155,16"
10/31/16,"155,23",,"-0,36","-0,23","184,90","123,64",,"155,23","155,23"
09/30/16,"155,60",,"3,52","2,31","185,22","124,02",,"155,60","155,60"
08/31/16,"152,08",,"2,70","1,81","180,90","118,80",,"152,08","152,08"
07/29/16,"149,38",,"11,19","8,10","177,30","114,44",,"149,38","149,38"
06/30/16,"138,19",,"-4,58","-3,21","163,91","98,25",,"138,19","138,19"
05/31/16,"142,77",,"6,67","4,90","169,17","104,61",,"142,77","142,77"
04/29/16,"136,09",,"-6,63","-4,65","160,77","94,44",,"136,09","136,09"
03/31/16,"142,72",,"10,84","8,22","168,43","103,71",,"142,72","142,72"
02/29/16,"131,88",,"-2,79","-2,07","155,49","88,07",,"131,88","131,88"
01/29/16,"134,67",,"-8,18","-5,73","158,36","91,54",,"134,67","134,67"
12/31/15,"142,86",,"-3,83","-2,61","167,89","103,06",,"142,86","142,86"
11/30/15,"146,69",,"1,76","1,21","172,29","108,38",,"146,69","146,69"
10/30/15,"144,93",,"13,63","10,38","169,84","105,41",,"144,93","144,93"
09/30/15,"131,30",,"-2,25","-1,69","153,76","85,97",,"131,30","131,30"
08/31/15,"133,56",,"-8,68","-6,10","156,27","89,01",,"133,56","133,56"
07/31/15,"142,24",,"3,36","2,42","166,04","100,82",,"142,24","142,24"
06/30/15,"138,87",,"-6,46","-4,45","162,01","95,95",,"138,87","138,87"
05/29/15,"145,33",,"3,25","2,29","169,43","104,93",,"145,33","145,33"
04/30/15,"142,08",,"2,09","1,49","165,21","99,82",,"142,08","142,08"
03/31/15,"139,99",,"-3,17","-2,22","162,65","96,72",,"139,99","139,99"
02/27/15,"143,16",,"10,31","7,76","166,13","100,93",,"143,16","143,16"
01/30/15,"132,86",,"-3,94","-2,88","153,83","86,06",,"132,86","132,86"
12/31/14,"136,80",,"-1,83","-1,32","158,32","91,48",,"136,80","136,80"
11/28/14,"138,64",,"6,91","5,24","160,35","93,94",,"138,64","138,64"
10/31/14,"131,73",,"1,55","1,19","152,02","83,86",,"131,73","131,73"
09/30/14,"130,18",,"-0,44","-0,34","150,14","81,59",,"130,18","130,18"
08/29/14,"130,62",,"4,23","3,35","150,51","82,03",,"130,62","130,62"
07/31/14,"126,39",,"1,91","1,53","145,29","75,73",,"126,39","126,39"
06/30/14,"124,48",,"2,80","2,30","143,02","72,98",,"124,48","124,48"
05/30/14,"121,68",,"3,97","3,38","139,63","68,88",,"121,68","121,68"
04/30/14,"117,70",,"-0,93","-0,79","134,69","62,90",,"117,70","117,70"
03/31/14,"118,63",,"-0,16","-0,13","135,60","64,01",,"118,63","118,63"
02/28/14,"118,79",,"5,01","4,40","135,65","64,06",,"118,79","118,79"
01/31/14,"113,78",,"-3,27","-2,80","129,62","56,77",,"113,78","113,78"
12/31/13,"117,06",,"4,86","4,33","133,26","61,18",,"117,06","117,06"
11/29/13,"112,20",,"3,98","3,68","127,66","54,41",,"112,20","112,20"
10/31/13,"108,22",,"3,71","3,55","122,82","48,55",,"108,22","108,22"
09/30/13,"104,51",,"4,05","4,03","118,52","43,35",,"104,51","104,51"
08/30/13,"100,47",,"-0,62","-0,61","113,84","37,69",,"100,47","100,47"
07/31/13,"101,09",,"4,09","4,21","114,24","38,17",,"101,09","101,09"
06/28/13,"97,00",,"-3,51","-3,49","109,55","32,50",,"97,00","97,00"
05/31/13,"100,51",,"3,24","3,34","113,36","37,10",,"100,51","100,51"
04/30/13,"97,26",,"1,47","1,53","109,42","32,34",,"97,26","97,26"
03/29/13,"95,80",,"2,30","2,46","107,65","30,20",,"95,80","95,80"
02/28/13,"93,50",,"0,42","0,45","104,95","26,94",,"93,50","93,50"
01/31/13,"93,08",,"2,23","2,45","104,23","26,06",,"93,08","93,08"
12/31/12,"90,85",,"0,65","0,72","101,72","23,03",,"90,85","90,85"
11/30/12,"90,20",,"1,67","1,89","100,87","22,00",,"90,20","90,20"
10/31/12,"88,53",,"-5,12","-5,46","98,72","19,40",,"88,53","88,53"
09/28/12,"93,65",,"0,97","1,05","104,36","26,22",,"93,65","93,65"
08/31/12,"92,68",,"3,61","4,05","103,17","24,78",,"92,68","92,68"
07/31/12,"89,07",,"0,35","0,40","98,91","19,63",,"89,07","89,07"
06/29/12,"88,72",,"2,48","2,88","98,49","19,12",,"88,72","88,72"
05/31/12,"86,23",,"-8,06","-8,55","95,66","15,70",,"86,23","86,23"
04/30/12,"94,29",,"-2,50","-2,58","104,29","26,14",,"94,29","94,29"
03/30/12,"96,79",,"4,43","4,79","107,00","29,41",,"96,79","96,79"
02/29/12,"92,36",,"6,35","7,38","102,00","23,37",,"92,36","92,36"
01/31/12,"86,02",,"5,48","6,81","94,83","14,70",,"86,02","86,02"
12/30/11,"80,54",,"-1,22","-1,49","88,76","7,35",,"80,54","80,54"
11/30/11,"81,76",,"-1,79","-2,14","90,04","8,90",,"81,76","81,76"
10/31/11,"83,54",,"8,09","10,73","91,84","11,08",,"83,54","83,54"
09/30/11,"75,45",,"-2,80","-3,58","82,90","0,27",,"75,45","75,45"
08/31/11,"78,25",,"-5,37","-6,42","85,90","3,90",,"78,25","78,25"
07/29/11,"83,62",,"0,09","0,11","91,63","10,83",,"83,62","83,62"
06/30/11,"83,53",,"-2,15","-2,51","91,47","10,63",,"83,53","83,53"
05/31/11,"85,69",,"-1,70","-1,95","93,80","13,45",,"85,69","85,69"
04/29/11,"87,39",,"2,06","2,42","95,41","15,40",,"87,39","87,39"
03/31/11,"85,32",,"-2,88","-3,27","93,08","12,58",,"85,32","85,32"
02/28/11,"88,20",,"1,50","1,74","96,11","16,25",,"88,20","88,20"
01/31/11,"86,70",,"3,01","3,60","94,34","14,10",,"86,70","86,70"
12/31/10,"83,69",,"4,20","5,29","91,05","10,12",,"83,69","83,69"
11/30/10,"79,49",,"-0,52","-0,65","86,42","4,53",,"79,49","79,49"
10/29/10,"80,01",,"4,01","5,28","86,86","5,06",,"80,01","80,01"
09/30/10,"76,00",,"7,51","10,96","82,49","-0,23",,"76,00","76,00"
08/31/10,"68,49",,"-5,58","-7,53","74,26","-10,18",,"68,49","68,49"
07/30/10,"74,07",,"4,27","6,11","80,18","-3,02",,"74,07","74,07"
06/30/10,"69,80",,"-4,58","-6,16","75,52","-8,66",,"69,80","69,80"
05/31/10,"74,38",,"-7,52","-9,19","80,44","-2,71",,"74,38","74,38"
04/30/10,"81,90",,"1,33","1,65","88,37","6,89",,"81,90","81,90"
03/31/10,"80,58",,"5,86","7,85","86,89","5,09",,"80,58","80,58"
02/26/10,"74,71",,"2,06","2,83","80,48","-2,66",,"74,71","74,71"
01/29/10,"72,66",,"-4,93","-6,35","78,15","-5,48",,"72,66","72,66"
12/31/09,"77,59",,"4,96","6,83","83,44","0,92",,"77,59","77,59"
11/30/09,"72,62",,"2,04","2,88","78,06","-5,59",,"72,62","72,62"
10/30/09,"70,59",,"-0,94","-1,32","75,76","-8,36",,"70,59","70,59"
09/30/09,"71,53",,"2,28","3,30","76,75","-7,17",,"71,53","71,53"
08/31/09,"69,25",,"1,55","2,29","74,24","-10,21",,"69,25","69,25"
