Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
02/20/08,"81,23",,"0,68","0,84","85,27","1,34",,"81,23","81,23"
02/21/08,"81,17",,"-0,06","-0,08","85,21","1,26",,"81,17","81,17"
02/22/08,"81,10",,"-0,06","-0,08","85,14","1,18",,"81,10","81,10"
02/25/08,"81,90",,"0,80","0,99","85,98","2,18",,"81,90","81,90"
02/26/08,"82,68",,"0,78","0,95","86,80","3,15",,"82,68","82,68"
02/27/08,"83,28",,"0,60","0,72","87,43","3,91",,"83,28","83,28"
02/28/08,"82,42",,"-0,86","-1,03","86,53","2,84",,"82,42","82,42"
02/29/08,"80,31",,"-2,11","-2,56","84,32","0,21",,"80,31","80,31"
03/03/08,"79,15",,"-1,16","-1,45","83,10","-1,24",,"79,15","79,15"
03/04/08,"79,21",,"0,06","0,07","83,16","-1,17",,"79,21","79,21"
03/05/08,"79,88",,"0,67","0,85","83,87","-0,33",,"79,88","79,88"
03/06/08,"78,79",,"-1,08","-1,36","82,73","-1,69",,"78,79","78,79"
03/07/08,"78,21",,"-0,58","-0,74","82,11","-2,41",,"78,21","78,21"
03/10/08,"77,28",,"-0,93","-1,18","81,15","-3,56",,"77,28","77,28"
03/11/08,"79,27",,"1,99","2,57","83,24","-1,08",,"79,27","79,27"
03/12/08,"79,25",,"-0,02","-0,03","83,22","-1,10",,"79,25","79,25"
03/13/08,"79,01",,"-0,24","-0,30","82,97","-1,40",,"79,01","79,01"
03/14/08,"77,43",,"-1,57","-1,99","81,32","-3,36",,"77,43","77,43"
03/17/08,"76,24",,"-1,20","-1,54","80,06","-4,86",,"76,24","76,24"
03/18/08,"79,05",,"2,81","3,69","83,02","-1,34",,"79,05","79,05"
03/19/08,"77,44",,"-1,61","-2,04","81,33","-3,35",,"77,44","77,44"
03/20/08,"78,38",,"0,93","1,21","82,31","-2,19",,"78,38","78,38"
03/21/08,"78,51",,"0,14","0,18","82,45","-2,01",,"78,51","78,51"
03/24/08,"80,20",,"1,69","2,15","84,22","0,09",,"80,20","80,20"
03/25/08,"81,18",,"0,98","1,22","85,25","1,31",,"81,18","81,18"
03/26/08,"80,44",,"-0,74","-0,91","84,56","0,49",,"80,44","80,44"
03/27/08,"78,72",,"-1,71","-2,13","82,76","-1,64",,"78,72","78,72"
03/28/08,"78,73",,"0,00","0,00","82,77","-1,64",,"78,73","78,73"
03/31/08,"78,85",,"0,13","0,16","82,90","-1,48",,"78,85","78,85"
04/01/08,"81,50",,"2,65","3,36","85,68","1,83",,"81,50","81,50"
04/02/08,"81,86",,"0,35","0,43","86,05","2,27",,"81,86","81,86"
04/03/08,"82,16",,"0,30","0,37","86,37","2,65",,"82,16","82,16"
04/04/08,"82,18",,"0,02","0,03","86,40","2,68",,"82,18","82,18"
04/07/08,"82,43",,"0,25","0,31","86,67","3,00",,"82,43","82,43"
04/08/08,"81,54",,"-0,89","-1,08","85,73","1,89",,"81,54","81,54"
04/09/08,"81,05",,"-0,49","-0,60","85,22","1,27",,"81,05","81,05"
04/10/08,"81,86",,"0,81","1,00","86,11","2,33",,"81,86","81,86"
04/11/08,"80,23",,"-1,63","-1,99","84,39","0,29",,"80,23","80,23"
04/14/08,"79,54",,"-0,69","-0,86","83,66","-0,57",,"79,54","79,54"
04/15/08,"79,43",,"-0,11","-0,14","83,55","-0,71",,"79,43","79,43"
04/16/08,"81,66",,"2,23","2,81","85,90","2,08",,"81,66","81,66"
